DATEPRD,BORE_GAS_VOL
2008-02-12,38888.67
2008-02-13,285246.16
2008-02-14,509954.88
2008-02-15,383426.67
2008-02-16,418474.0
2008-02-17,422763.0
2008-02-18,413831.0
2008-02-19,429218.0
2008-02-20,442982.75
2008-02-21,423809.16
2008-02-22,397808.0
2008-02-23,252078.0
2008-02-24,442808.0
2008-02-25,439178.0
2008-02-26,446905.0
2008-02-27,445616.0
2008-02-28,424674.0
2008-02-29,450348.0
2008-03-01,447584.12
2008-03-02,446144.0
2008-03-03,443726.0
2008-03-04,430246.72
2008-03-05,437688.2
2008-03-06,432727.0
2008-03-07,391264.6
2008-03-08,365769.0
2008-03-09,427791.0
2008-03-10,440679.0
2008-03-11,450972.0
2008-03-12,418887.0
2008-03-13,458524.0
2008-03-14,428015.0
2008-03-15,454137.0
2008-03-16,454798.0
2008-03-17,470240.0
2008-03-18,425284.44
2008-03-19,454093.33
2008-03-20,467465.72
2008-03-21,458447.4
2008-03-22,458028.49
2008-03-23,466335.26
2008-03-24,468479.65
2008-03-25,406562.1
2008-03-26,113341.21
2008-03-27,0.0
2008-03-28,48936.44
2008-03-29,509074.88
2008-03-30,137396.4
2008-03-31,378532.95
2008-04-01,457837.18
2008-04-02,461808.99
2008-04-03,372985.57
2008-04-04,463717.13
2008-04-05,463529.9
2008-04-06,440906.09
2008-04-07,452369.44
2008-04-08,451030.48
2008-04-09,463595.31
2008-04-10,468712.0
2008-04-11,458936.65
2008-04-12,242280.01
2008-04-13,65731.44
2008-04-14,413142.56
2008-04-15,400308.2
2008-04-16,462314.88
2008-04-17,184080.6
2008-04-18,372536.86
2008-04-19,383126.44
2008-04-20,418498.59
2008-04-21,426345.05
2008-04-22,422378.97
2008-04-23,422115.01
2008-04-24,474459.4
2008-04-25,480456.7
2008-04-26,481822.53
2008-04-27,350826.25
2008-04-29,90823.83
2008-04-30,459764.68
2008-05-01,471209.85
2008-05-02,486368.03
2008-05-03,474305.4
2008-05-04,493120.0
2008-05-05,491322.97
2008-05-06,489872.38
2008-05-07,489343.07
2008-05-08,488607.46
2008-05-09,489393.88
2008-05-10,524276.14
2008-05-11,567340.44
2008-05-12,612762.21
2008-05-13,648380.88
2008-05-14,651572.53
2008-05-15,671084.55
2008-05-16,696343.43
2008-05-17,709992.17
2008-05-18,711699.89
2008-05-19,714081.05
2008-05-20,741919.56
2008-05-21,759588.91
2008-05-22,760577.09
2008-05-23,760297.25
2008-05-24,762332.85
2008-05-25,764673.62
2008-05-26,766791.37
2008-05-27,767889.19
2008-05-28,767413.36
2008-05-29,770161.99
2008-05-30,589150.0
2008-05-31,0.0
2008-06-01,11729.2
2008-06-02,603534.04
2008-06-03,755898.39
2008-06-04,764495.52
2008-06-05,768018.95
2008-06-06,763388.73
2008-06-07,761308.55
2008-06-08,761089.16
2008-06-09,762129.8
2008-06-10,761130.49
2008-06-11,760260.45
2008-06-12,757005.32
2008-06-13,754387.87
2008-06-14,651120.47
2008-06-15,763089.71
2008-06-16,764342.55
2008-06-17,756365.89
2008-06-18,765784.34
2008-06-19,766175.86
2008-06-20,702550.38
2008-06-21,750094.0
2008-06-22,769091.42
2008-06-23,765622.03
2008-06-24,766123.1
2008-06-25,767514.63
2008-06-26,639125.35
2008-06-27,762147.27
2008-06-28,711222.19
2008-06-29,768245.7
2008-06-30,659342.57
2008-07-01,599295.69
2008-07-02,766478.4
2008-07-03,762466.05
2008-07-04,761637.18
2008-07-05,761985.49
2008-07-06,762728.95
2008-07-07,764020.22
2008-07-08,764104.54
2008-07-09,762917.06
2008-07-10,691133.54
2008-07-11,426766.13
2008-07-12,151768.25
2008-07-13,858289.13
2008-07-14,662383.83
2008-07-15,1009216.13
2008-07-16,969003.9
2008-07-17,956946.01
2008-07-18,885046.0
2008-07-19,902696.03
2008-07-20,875387.74
2008-07-21,868833.02
2008-07-22,864433.0
2008-07-23,866873.5700000001
2008-07-24,884414.1499999999
2008-07-25,863048.79
2008-07-26,866618.47
2008-07-27,865453.0800000001
2008-07-28,866166.69
2008-07-29,881439.29
2008-07-30,874781.64
2008-07-31,858970.88
2008-08-01,894413.88
2008-08-02,894571.3400000001
2008-08-03,894381.3
2008-08-04,893295.27
2008-08-05,895492.6200000001
2008-08-06,269325.75
2008-08-08,210148.12
2008-08-09,1085545.73
2008-08-10,1178432.52
2008-08-11,1182739.74
2008-08-12,1191856.78
2008-08-13,1170766.2799999998
2008-08-14,1201309.83
2008-08-15,1212947.81
2008-08-16,1321742.04
2008-08-17,1339211.4
2008-08-18,1364086.03
2008-08-19,1362190.95
2008-08-20,1318397.29
2008-08-21,1071124.8900000001
2008-08-22,290174.27
2008-08-23,291279.7
2008-08-24,294693.68
2008-08-25,293955.38
2008-08-26,293973.81
2008-08-27,295564.57
2008-08-28,305319.46
2008-08-29,318561.33
2008-08-30,297315.78
2008-08-31,290723.03
2008-09-01,284059.33
2008-09-02,304456.81
2008-09-03,298774.41
2008-09-04,302139.38
2008-09-05,305847.41
2008-09-06,304384.42
2008-09-07,304483.02
2008-09-08,307759.23
2008-09-09,194403.17
2008-09-10,814062.6200000001
2008-09-11,1292872.37
2008-09-12,1255717.78
2008-09-13,1314724.31
2008-09-14,1314399.1400000001
2008-09-15,1314724.26
2008-09-16,1306719.9100000001
2008-09-17,1294365.06
2008-09-18,933337.9099999999
2008-09-19,972375.94
2008-09-20,1280589.99
2008-09-21,1050686.8399999999
2008-09-22,1074777.48
2008-09-23,1273977.65
2008-09-24,1271850.29
2008-09-25,1242907.97
2008-09-26,1281219.18
2008-09-27,1161930.18
2008-09-28,1217835.04
2008-09-29,1263375.78
2008-09-30,987702.28
2008-10-01,1266796.32
2008-10-02,1260856.13
2008-10-03,1258333.44
2008-10-04,1084777.3599999999
2008-10-05,1244869.02
2008-10-06,780067.5800000001
2008-10-07,986721.37
2008-10-08,985244.05
2008-10-09,982081.3300000001
2008-10-10,985869.24
2008-10-11,993954.17
2008-10-12,995032.79
2008-10-13,994838.9099999999
2008-10-14,994539.78
2008-10-15,993880.26
2008-10-16,994225.5700000001
2008-10-17,994505.6299999999
2008-10-18,1036898.8899999999
2008-10-19,1008634.04
2008-10-20,1005985.75
2008-10-21,1003192.2
2008-10-22,1148975.24
2008-10-23,1143901.1800000002
2008-10-24,1160574.69
2008-10-25,1166808.31
2008-10-26,1205208.09
2008-10-27,1169761.0899999999
2008-10-28,1267733.3399999999
2008-10-29,1093772.92
2008-10-30,1273208.2
2008-10-31,1276453.3800000001
2008-11-01,1043250.47
2008-11-02,1163464.75
2008-11-03,1227498.34
2008-11-04,1236697.9500000002
2008-11-05,1223843.17
2008-11-06,1234206.93
2008-11-07,1198268.57
2008-11-08,1207030.6199999999
2008-11-09,1222925.9100000001
2008-11-10,1211402.1600000001
2008-11-11,1216693.15
2008-11-12,1218646.73
2008-11-13,1220748.93
2008-11-14,1223789.57
2008-11-15,1224616.6199999999
2008-11-16,1222801.29
2008-11-17,1225514.05
2008-11-18,1221311.03
2008-11-19,1238520.1199999999
2008-11-20,1227744.92
2008-11-21,992277.54
2008-11-22,1234776.18
2008-11-23,1148452.4
2008-11-24,1201849.71
2008-11-25,1252690.13
2008-11-26,1293432.19
2008-11-27,1304056.0699999998
2008-11-28,642783.2
2008-11-29,1158212.1099999999
2008-11-30,1305637.46
2008-12-01,1221533.42
2008-12-02,1227395.95
2008-12-03,1295682.1800000002
2008-12-04,1298682.21
2008-12-05,1271295.67
2008-12-06,1293013.85
2008-12-07,1303787.81
2008-12-08,1213539.53
2008-12-09,1240496.3900000001
2008-12-10,1300753.04
2008-12-11,1249577.32
2008-12-12,1289876.0899999999
2008-12-13,1295515.33
2008-12-14,1303936.8399999999
2008-12-15,1307167.81
2008-12-16,1305826.8399999999
2008-12-17,1302197.7
2008-12-18,1315346.65
2008-12-19,1315692.4300000002
2008-12-20,1310079.43
2008-12-21,1305777.19
2008-12-22,1306550.45
2008-12-23,1306798.65
2008-12-24,1308788.6600000001
2008-12-25,1306721.99
2008-12-26,1308522.56
2008-12-27,1312501.58
2008-12-28,1311256.28
2008-12-29,1309810.7
2008-12-30,1309588.58
2008-12-31,1314902.06
2009-01-01,1314317.52
2009-01-02,1294961.17
2009-01-03,1159584.41
2009-01-04,1294375.16
2009-01-05,1321530.08
2009-01-06,1067297.22
2009-01-07,1325814.12
2009-01-08,1291566.4
2009-01-09,1188110.75
2009-01-10,1312968.01
2009-01-11,1305950.34
2009-01-12,1305200.76
2009-01-13,1292639.51
2009-01-14,1301665.32
2009-01-15,1290969.52
2009-01-16,1290501.75
2009-01-17,1261787.67
2009-01-18,1286867.63
2009-01-19,1299201.2
2009-01-20,1284841.87
2009-01-21,1193304.48
2009-01-22,1287503.1
2009-01-23,1289622.31
2009-01-24,1304108.01
2009-01-25,1292064.25
2009-01-26,1285999.8
2009-01-27,1286541.1
2009-01-28,1081746.77
2009-01-29,906000.97
2009-01-30,1279144.06
2009-01-31,1277494.0899999999
2009-02-01,1084688.53
2009-02-02,1277883.62
2009-02-03,1279069.44
2009-02-04,856299.57
2009-02-05,1271593.37
2009-02-06,1281981.81
2009-02-07,1036337.86
2009-02-08,1260952.75
2009-02-09,1139024.69
2009-02-10,1316313.51
2009-02-11,1266015.49
2009-02-12,1272075.03
2009-02-13,1066410.1300000001
2009-02-14,1263510.98
2009-02-15,1239957.3599999999
2009-02-16,1130232.25
2009-02-17,1281580.25
2009-02-18,1271066.58
2009-02-19,1268740.8199999998
2009-02-20,1267665.15
2009-02-21,967881.49
2009-02-22,1256601.9
2009-02-23,1262472.8399999999
2009-02-24,1262870.22
2009-02-25,1037558.75
2009-02-26,1258769.49
2009-02-27,1248555.01
2009-02-28,1255320.0899999999
2009-03-01,1264123.77
2009-03-02,1277471.82
2009-03-03,1274664.12
2009-03-04,1261743.18
2009-03-05,629001.25
2009-03-06,1051569.83
2009-03-07,798357.23
2009-03-08,716314.08
2009-03-09,623624.8200000001
2009-03-10,1019428.75
2009-03-11,921296.85
2009-03-12,1149010.02
2009-03-13,746772.8
2009-03-14,639509.9
2009-03-15,803055.1100000001
2009-03-16,953592.55
2009-03-17,778638.78
2009-03-18,1120179.79
2009-03-19,1161626.8399999999
2009-03-20,1221857.9
2009-03-21,1239379.82
2009-03-22,1237965.17
2009-03-23,1221510.68
