DATEPRD,BORE_OIL_VOL
2008-02-12,284.65
2008-02-13,1869.7
2008-02-14,3124.09
2008-02-15,2608.28
2008-02-16,3051.8
2008-02-17,2982.63
2008-02-18,2980.52
2008-02-19,3046.19
2008-02-20,3057.18
2008-02-21,3030.33
2008-02-22,2907.56
2008-02-23,1851.72
2008-02-24,3126.7
2008-02-25,3045.54
2008-02-26,3046.54
2008-02-27,3035.54
2008-02-28,2971.55
2008-02-29,3070.54
2008-03-01,3068.48
2008-03-02,3066.54
2008-03-03,3043.54
2008-03-04,2983.19
2008-03-05,2967.05
2008-03-06,2950.88
2008-03-07,2656.62
2008-03-08,2578.48
2008-03-09,2996.83
2008-03-10,3021.4
2008-03-11,3010.4
2008-03-12,2794.44
2008-03-13,3058.89
2008-03-14,2964.81
2008-03-15,3131.37
2008-03-16,3135.37
2008-03-17,3143.37
2008-03-18,3132.37
2008-03-19,3139.62
2008-03-20,3156.67
2008-03-21,3192.14
2008-03-22,3172.12
2008-03-23,3160.26
2008-03-24,3153.35
2008-03-25,3130.58
2008-03-26,960.26
2008-03-27,0.0
2008-03-28,73.44
2008-03-29,3137.26
2008-03-30,1430.95
2008-03-31,1950.58
2008-04-01,3060.6
2008-04-02,3053.67
2008-04-03,3103.12
2008-04-04,3110.68
2008-04-05,3303.3
2008-04-06,3028.41
2008-04-07,2998.8
2008-04-08,3054.12
2008-04-09,3025.8
2008-04-10,3003.22
2008-04-11,3015.97
2008-04-12,1615.37
2008-04-13,429.77
2008-04-14,2578.63
2008-04-15,2494.26
2008-04-16,2847.56
2008-04-17,1120.57
2008-04-18,2448.14
2008-04-19,2513.65
2008-04-20,2752.75
2008-04-21,2752.3
2008-04-22,2737.24
2008-04-23,2735.53
2008-04-24,2730.33
2008-04-25,2727.65
2008-04-26,2747.01
2008-04-27,1985.59
2008-04-29,546.58
2008-04-30,3011.83
2008-05-01,3167.59
2008-05-02,3163.92
2008-05-03,3173.19
2008-05-04,3188.85
2008-05-05,3186.96
2008-05-06,3176.89
2008-05-07,3171.32
2008-05-08,3170.85
2008-05-09,3188.02
2008-05-10,3415.68
2008-05-11,3701.51
2008-05-12,4002.28
2008-05-13,4253.12
2008-05-14,4279.91
2008-05-15,4439.62
2008-05-16,4582.9
2008-05-17,4677.42
2008-05-18,4688.63
2008-05-19,4687.74
2008-05-20,4885.56
2008-05-21,5013.12
2008-05-22,5017.55
2008-05-23,5019.23
2008-05-24,5034.28
2008-05-25,5045.72
2008-05-26,5053.01
2008-05-27,5065.87
2008-05-28,5072.27
2008-05-29,5086.33
2008-05-30,3869.22
2008-05-31,0.0
2008-06-01,22.94
2008-06-02,4019.51
2008-06-03,4999.75
2008-06-04,5067.01
2008-06-05,5040.47
2008-06-06,5058.13
2008-06-07,5057.56
2008-06-08,5070.12
2008-06-09,5081.36
2008-06-10,5081.78
2008-06-11,5087.06
2008-06-12,5060.12
2008-06-13,5032.29
2008-06-14,4332.16
2008-06-15,5087.53
2008-06-16,5102.25
2008-06-17,5102.84
2008-06-18,5135.06
2008-06-19,5140.62
2008-06-20,4721.66
2008-06-21,5037.62
2008-06-22,5147.1
2008-06-23,5114.6
2008-06-24,5123.74
2008-06-25,5135.48
2008-06-26,4232.54
2008-06-27,5126.41
2008-06-28,5075.74
2008-06-29,5121.12
2008-06-30,4372.28
2008-07-01,3980.51
2008-07-02,5114.67
2008-07-03,5083.67
2008-07-04,5080.84
2008-07-05,5086.26
2008-07-06,5087.7
2008-07-07,5094.92
2008-07-08,5095.75
2008-07-09,5094.03
2008-07-10,4621.52
2008-07-11,2855.54
2008-07-12,686.84
2008-07-13,5904.64
2008-07-14,4411.16
2008-07-15,6836.92
2008-07-16,6557.63
2008-07-17,6629.63
2008-07-18,5995.91
2008-07-19,5950.66
2008-07-20,5977.040000000001
2008-07-21,5925.65
2008-07-22,5884.08
2008-07-23,5894.47
2008-07-24,5911.48
2008-07-25,5926.969999999999
2008-07-26,5904.41
2008-07-27,5909.64
2008-07-28,5905.84
2008-07-29,6016.82
2008-07-30,5987.7
2008-07-31,5866.79
2008-08-01,6095.34
2008-08-02,6089.46
2008-08-03,6104.92
2008-08-04,6112.610000000001
2008-08-05,6134.42
2008-08-06,1831.1799999999998
2008-08-08,1533.2
2008-08-09,7881.25
2008-08-10,8498.16
2008-08-11,8530.49
2008-08-12,8544.81
2008-08-13,8390.12
2008-08-14,8029.870000000001
2008-08-15,8102.120000000001
2008-08-16,9058.32
2008-08-17,9166.8
2008-08-18,9040.37
2008-08-19,9034.9
2008-08-20,9013.53
2008-08-21,7361.25
2008-08-22,2049.86
2008-08-23,2059.29
2008-08-24,2080.27
2008-08-25,2089.77
2008-08-26,2093.46
2008-08-27,2084.4
2008-08-28,2086.63
2008-08-29,2189.55
2008-08-30,2058.63
2008-08-31,2098.6800000000003
2008-09-01,2029.12
2008-09-02,2182.67
2008-09-03,2164.78
2008-09-04,2186.74
2008-09-05,2230.26
2008-09-06,2202.77
2008-09-07,2173.11
2008-09-08,2229.99
2008-09-09,2272.65
2008-09-10,5560.12
2008-09-11,8881.31
2008-09-12,8525.45
2008-09-13,8983.18
2008-09-14,9000.2
2008-09-15,9017.02
2008-09-16,8987.73
2008-09-17,8941.029999999999
2008-09-18,6452.68
2008-09-19,6720.790000000001
2008-09-20,8959.279999999999
2008-09-21,7379.33
2008-09-22,7536.27
2008-09-23,8943.720000000001
2008-09-24,8965.900000000001
2008-09-25,8270.09
2008-09-26,9029.43
2008-09-27,8076.900000000001
2008-09-28,8527.869999999999
2008-09-29,8923.17
2008-09-30,6909.65
2008-10-01,8926.72
2008-10-02,8889.39
2008-10-03,8875.8
2008-10-04,7418.12
2008-10-05,8796.73
2008-10-06,5612.18
2008-10-07,6948.780000000001
2008-10-08,6927.84
2008-10-09,6915.68
2008-10-10,6927.030000000001
